weather.스,weather.stn_id,weather.pvn_nm,weather.bor_nm,weather.max_ta,weather.max_ws,weather.min_ta,weather.avg_ta,weather.avg_rhm,weather.avg_wa,weather.sum_rn
20160212,98,경기도,동두천시,9.4,3.6,6.4,8.2,85,1.1,17.5
20160213,98,경기도,동두천시,16.5,6.8,7.1,11.2,88,1.6,23.1
20160214,98,경기도,동두천시,7,6.6,-6.8,-1.8,72,4.1,1.3
20160215,98,경기도,동두천시,-0.4,6.8,-10.5,-5.5,46,3.1,0
20160216,98,경기도,동두천시,1.5,5.6,-8.2,-3.5,63,2.2,0.9
20160217,98,경기도,동두천시,6.2,6.1,-7.8,-1.1,56,1.7,0
20160218,98,경기도,동두천시,8.8,6.6,-2.3,3.9,62,3.1,0
20160219,98,경기도,동두천시,5.4,3.2,-1.7,1.8,57,1.1,0
20160220,98,경기도,동두천시,8.8,7.4,-3.6,0.8,43,2.7,0
20160221,98,경기도,동두천시,5,6.9,-6.2,-0.9,35,2.3,0
20160222,98,경기도,동두천시,5.7,3.3,-3.7,0.6,42,1.3,0
20160223,98,경기도,동두천시,7,7.1,-4.3,0.9,51,2.8,0.3
20160224,98,경기도,동두천시,3.9,5,-8.5,-2.9,39,2,0
20160225,98,경기도,동두천시,6.1,7.5,-8.7,-1.7,56,1.7,1
20160226,98,경기도,동두천시,7.6,5.7,-6.5,0.6,45,1.6,0
20160227,98,경기도,동두천시,9.5,5.2,-1.7,2.8,47,1.7,0
20160228,98,경기도,동두천시,4.3,5.2,-3.4,-0.5,70,1.4,2.9
20160229,98,경기도,동두천시,0.7,7.5,-6.7,-3.8,47,3.1,0
20160301,98,경기도,동두천시,2.5,6.8,-10.2,-3.3,50,2,0
20160302,98,경기도,동두천시,8.1,7.9,-3.5,2.7,65,2.7,0
20160303,98,경기도,동두천시,14.3,5.2,4.3,7.5,62,2.2,0
20160304,98,경기도,동두천시,20.6,4,3.9,11.7,55,1.4,0
20160305,98,경기도,동두천시,13.8,6.8,7.5,10.6,85,2.2,51.2
20160306,98,경기도,동두천시,14,5.2,3.4,7.7,54,1.9,0
20160307,98,경기도,동두천시,13.2,4.5,2.2,7.1,44,1.4,0
20160308,98,경기도,동두천시,8.3,5.3,-1.5,2.9,37,2.9,0
20160309,98,경기도,동두천시,8.1,6.7,-3.2,0.7,35,3,0
20160310,98,경기도,동두천시,6.1,7.5,-5.4,-0.4,34,2.8,0
20160311,98,경기도,동두천시,7.9,6.5,-6.7,-0.3,41,2.1,0
20160312,98,경기도,동두천시,7.1,6,-5.2,1.7,58,1.9,0
20160313,98,경기도,동두천시,5.2,2.4,0.2,2.1,79,0.6,2
20160314,98,경기도,동두천시,12.2,5.4,0.4,4.5,58,1.6,0
20160315,98,경기도,동두천시,15.7,5.2,-3.2,4.9,44,1.6,0
20160316,98,경기도,동두천시,15.5,5.2,1.2,7.1,43,1.8,0
20160317,98,경기도,동두천시,16.6,4.1,-1.1,7.9,45,1.2,0
20160318,98,경기도,동두천시,21.3,4,4.7,12.3,54,1.4,0
20160319,98,경기도,동두천시,20.8,5.7,5.5,11.5,54,2.2,0
20160320,98,경기도,동두천시,19.1,5.1,2.1,9.8,55,1.7,0
20160321,98,경기도,동두천시,18.3,6.3,2.1,9.2,56,2.1,0
20160322,98,경기도,동두천시,16,5.1,0.5,7.6,55,1.9,0
20160323,98,경기도,동두천시,16.1,6.2,2.2,8.5,43,2.5,0
20160324,98,경기도,동두천시,15.2,5.9,0.7,6.8,34,2.3,0
20160325,98,경기도,동두천시,13.6,5.2,-0.3,5.8,46,1.7,0
20160326,98,경기도,동두천시,15.3,4.8,-1.2,5.8,48,1.5,0
20160327,98,경기도,동두천시,15.1,6.9,-0.8,6.3,45,2,0
20160328,98,경기도,동두천시,18.6,5.6,-0.3,8.3,45,1.6,0
20160329,98,경기도,동두천시,17.8,8.4,5.1,11.3,53,3.5,0.1
20160330,98,경기도,동두천시,20.1,7.4,5.2,11.2,48,2.4,0
20160331,98,경기도,동두천시,24,5.4,3.1,12.7,29,1.6,0
20160401,98,경기도,동두천시,26.3,5.6,4.1,14.1,30,1.8,0
20160402,98,경기도,동두천시,22.5,7.5,6.4,14,45,2.4,0
20160403,98,경기도,동두천시,15.9,4.6,6.5,10.6,65,1.5,0.1
20160404,98,경기도,동두천시,22.1,5.7,3.1,11.9,40,1.9,0
20160405,98,경기도,동두천시,21.4,6.8,2.8,11.1,38,2,0
20160406,98,경기도,동두천시,23.8,5.7,4.3,14.3,39,1.8,0
20160407,98,경기도,동두천시,23.5,6.1,9,15.1,59,2.6,7.6
20160408,98,경기도,동두천시,20.4,6.9,6.9,11.4,71,2.2,0
20160409,98,경기도,동두천시,14.4,3.2,6.7,10.6,79,1.6,0
20160410,98,경기도,동두천시,22.4,5.3,7.6,14,58,1.9,0
20160411,98,경기도,동두천시,20.8,3.1,4.9,11.9,38,1.6,0
20160412,98,경기도,동두천시,20.9,6.3,7.9,13.8,42,2.2,0
20160413,98,경기도,동두천시,24.5,5.1,9.3,15.7,62,1.5,0.3
20160414,98,경기도,동두천시,23,5.8,9.2,13.7,63,2,0
20160415,98,경기도,동두천시,25.1,6.3,5.7,14.6,41,2.1,0
20160416,98,경기도,동두천시,22.8,4.5,6.7,13.8,61,1.7,29.2
20160417,98,경기도,동두천시,15.9,11,7.2,11.4,63,5,28.1
20160418,98,경기도,동두천시,20.1,8.7,5,10.9,62,2.8,3.6
20160419,98,경기도,동두천시,20.9,5.4,6.2,12.2,54,1.9,0
20160420,98,경기도,동두천시,23,7.9,8.3,14.2,52,2.1,0.1
20160421,98,경기도,동두천시,19.1,3.4,10.4,13.8,82,1.3,17.5
20160422,98,경기도,동두천시,18.4,6.3,10.6,13.6,79,2.6,0
20160423,98,경기도,동두천시,22,6,6.8,13.5,49,2,0
20160424,98,경기도,동두천시,24.7,4.4,4.9,14.9,41,1.6,0
20160425,98,경기도,동두천시,27.6,4.7,7.6,16.6,40,1.6,0
20160426,98,경기도,동두천시,30.9,4.7,8.5,18.9,40,1.9,0
20160427,98,경기도,동두천시,20.4,4,12.1,15.5,37,2,0
20160428,98,경기도,동두천시,25.1,4.5,10,17,35,1.7,0
20160429,98,경기도,동두천시,24.7,5.9,9.8,16.2,47,2.1,0
20160430,98,경기도,동두천시,22,7,9.7,15.1,51,2.3,0
20160501,98,경기도,동두천시,27.6,5.5,10.1,17.2,48,1.7,0
20160502,98,경기도,동두천시,29.5,4.9,13.5,20.5,62,1.7,9.5
20160503,98,경기도,동두천시,17.5,8.5,8.7,12.8,81,5.2,45.1
20160504,98,경기도,동두천시,21.7,12.5,9.5,15.6,43,6.9,0
20160505,98,경기도,동두천시,27.4,6.3,7.7,16.8,51,1.4,9.4
20160506,98,경기도,동두천시,17.5,4.9,12.1,15.2,90,1.8,5.3
20160507,98,경기도,동두천시,24.4,6.2,9.7,16.3,62,2,0
20160508,98,경기도,동두천시,28,5.5,9.5,18.3,51,1.7,0
20160509,98,경기도,동두천시,24.2,3.7,13.6,18.5,47,1.5,0
20160510,98,경기도,동두천시,16.5,3.8,11.9,13.5,80,1.9,12.6
20160511,98,경기도,동두천시,25.5,5.1,9.9,16.4,61,2.1,0
20160512,98,경기도,동두천시,25.1,6.6,9.9,16.9,62,2.7,0
20160513,98,경기도,동두천시,26.7,5.2,12.6,18.2,54,2.1,0
20160514,98,경기도,동두천시,28,5.1,12.3,19.4,49,1.9,0
20160515,98,경기도,동두천시,25.8,5.6,12.4,16.8,69,2.2,34.6
20160516,98,경기도,동두천시,23.2,6.8,10.3,15.5,57,2.8,1.2
20160517,98,경기도,동두천시,27.7,4.4,8.3,18,54,1.5,0
20160518,98,경기도,동두천시,30.7,4.1,10.8,20.6,46,1.3,0
20160519,98,경기도,동두천시,32.2,4.3,12.2,21.9,43,1.5,0
20160520,98,경기도,동두천시,32.1,3.6,12.4,22.4,39,1.3,0
20160521,98,경기도,동두천시,31.2,3,12.1,21.6,33,1.2,0
20160522,98,경기도,동두천시,31.8,3.4,13.9,22.8,41,1.1,0
20160523,98,경기도,동두천시,29.4,5.2,14.9,21.4,54,1.5,0
20160524,98,경기도,동두천시,20.9,4.6,14.3,16.4,79,2.3,33.7
20160525,98,경기도,동두천시,25.3,6,14.5,19.1,67,2.2,0
20160526,98,경기도,동두천시,21.2,3.7,14.7,17.9,78,1.2,0.3
20160527,98,경기도,동두천시,28.2,3.8,13.1,19.6,69,1.3,0
20160528,98,경기도,동두천시,28.8,4.5,15.2,21.2,60,1.6,0
20160529,98,경기도,동두천시,28.7,4.5,14.8,20.5,61,1.6,0
20160530,98,경기도,동두천시,29.2,6,13.8,21.3,55,1.8,0
20160531,98,경기도,동두천시,28.5,4.8,15.2,20.8,66,1.8,0
20160601,98,경기도,동두천시,29.8,4.4,14.4,22.4,47,1.6,0
20160602,98,경기도,동두천시,29.7,4.8,13.5,22.2,46,1.9,0
20160603,98,경기도,동두천시,28.3,5.3,14.5,21.1,51,1.7,0
20160604,98,경기도,동두천시,27.6,4,14.9,20.1,57,1.4,0
20160605,98,경기도,동두천시,31.5,2.6,14.9,23.2,53,1.2,0
20160606,98,경기도,동두천시,27.5,4.2,18,22.1,57,1.4,0
20160607,98,경기도,동두천시,28.2,4.9,18.1,21.7,69,1.2,0
20160608,98,경기도,동두천시,28.5,4.6,17.8,21.8,67,1.8,0
20160609,98,경기도,동두천시,31.6,4.1,15.8,23.4,58,1.5,0
20160610,98,경기도,동두천시,31,5.1,17.3,23.6,62,1.7,0
20160611,98,경기도,동두천시,27.8,3.5,20.2,22,78,1.3,5
20160612,98,경기도,동두천시,28.7,4.7,20.2,23.1,80,1.9,0.8
20160613,98,경기도,동두천시,31.2,5.2,19.5,24.2,66,1.7,0
20160614,98,경기도,동두천시,29.8,5.6,17.6,22.3,66,1.7,0.5
20160615,98,경기도,동두천시,25.1,4.1,17.3,19.7,82,1.8,17.9
20160616,98,경기도,동두천시,26.3,5.6,18.1,20.8,73,2.4,0
20160617,98,경기도,동두천시,29.1,5.5,17.1,22.7,67,2.2,0
20160618,98,경기도,동두천시,30,5.4,17.9,23.4,63,1.7,0
20160619,98,경기도,동두천시,29.7,5.4,16.5,22.3,68,1.7,0
20160620,98,경기도,동두천시,30,2.7,18.3,23.3,68,1.3,0
20160621,98,경기도,동두천시,31.4,4.5,18.2,24.6,67,1.3,0
20160622,98,경기도,동두천시,28.3,4.3,18.7,22.7,78,1.4,2.2
20160623,98,경기도,동두천시,30.2,5.1,17.5,23.6,74,1.4,0.1
20160624,98,경기도,동두천시,27.2,5,19.9,22.2,75,1.6,2.5
20160625,98,경기도,동두천시,27.9,5.8,17.2,21.6,65,2.2,0
20160626,98,경기도,동두천시,32.1,5.9,16.2,23.9,59,2,0
20160627,98,경기도,동두천시,28.1,2.8,18.2,22.9,62,1.1,0
20160628,98,경기도,동두천시,32.6,4.6,16.9,24.1,60,1.4,0
20160629,98,경기도,동두천시,32.5,4.9,18.4,24.6,60,1.8,0
20160630,98,경기도,동두천시,28.6,5.8,21.5,24.1,77,2.2,0.5
20160701,98,경기도,동두천시,27.7,3.3,20.3,23.4,83,1.9,99
20160702,98,경기도,동두천시,29.4,4.2,19.6,23.3,78,1.9,0.2
20160703,98,경기도,동두천시,28.1,3.1,19.3,23.4,72,1.4,0
20160704,98,경기도,동두천시,27.5,3.9,17.9,21.3,79,1.3,22.5
20160705,98,경기도,동두천시,21.8,5,17.9,19.2,89,2.3,162.1
20160706,98,경기도,동두천시,28.9,2.6,17.6,21.4,83,1,0.6
20160707,98,경기도,동두천시,29.3,3.8,18.1,23.1,75,1.1,0
20160708,98,경기도,동두천시,33,3.4,19.1,26,70,1.2,0
20160709,98,경기도,동두천시,33.6,4.4,20.5,26.6,69,1.5,0
20160710,98,경기도,동두천시,33.6,3.5,21.9,27.2,69,1.2,0
20160711,98,경기도,동두천시,34.9,3,22.7,27.6,67,1.1,0
20160712,98,경기도,동두천시,31.3,4.6,21.5,25.4,65,1.6,0.4
20160713,98,경기도,동두천시,30.3,4.2,20.2,25.5,69,1.7,2.1
20160714,98,경기도,동두천시,31.6,4.1,22.7,26.6,64,1.6,0
20160715,98,경기도,동두천시,30,3.4,20.9,25,64,1.3,2
20160716,98,경기도,동두천시,22.5,4.2,18.6,20.5,82,1.8,33.2
20160717,98,경기도,동두천시,22.6,3.7,20,21,88,1.6,9.4
20160718,98,경기도,동두천시,29.7,4.1,19.8,23.4,78,1.3,1
20160719,98,경기도,동두천시,32.2,2.3,18.6,25.2,72,0.9,0
20160720,98,경기도,동두천시,32.8,2.1,20.8,26.8,68,1.1,0
20160721,98,경기도,동두천시,33,2.1,22.8,26.5,71,1,0
20160722,98,경기도,동두천시,34.2,3.6,23.8,27.9,71,1.4,0
20160723,98,경기도,동두천시,30.9,3.3,25,26.6,81,1.2,4.9
20160724,98,경기도,동두천시,29.1,3.1,24.6,26.4,85,1.2,14.5
20160725,98,경기도,동두천시,31.7,4.4,24.9,27.3,80,1.4,0
20160726,98,경기도,동두천시,30.8,5.6,23.4,26.7,78,1.7,0
20160727,98,경기도,동두천시,29.1,4.3,25.1,26.1,83,1.8,6.9
20160728,98,경기도,동두천시,30.3,5.7,24.5,26.7,76,2.6,0
20160729,98,경기도,동두천시,29.2,3.5,22.5,25.6,83,1.3,5.6
20160730,98,경기도,동두천시,32.8,3.6,25,27.7,80,1.2,1.6
20160731,98,경기도,동두천시,33.3,5.5,24.2,27.8,74,1.5,0
20160801,98,경기도,동두천시,33.1,3.9,23.9,27.2,75,1.2,0
20160802,98,경기도,동두천시,32.8,4.1,23.3,26.1,76,1,0
20160803,98,경기도,동두천시,34.6,3,21.6,27.8,70,1.2,0
20160804,98,경기도,동두천시,35,2.5,23.5,28.8,69,1.1,0
20160805,98,경기도,동두천시,34.8,3,22.8,28.8,66,1.2,0
20160806,98,경기도,동두천시,35.4,4,23.8,29.5,71,1.4,0
20160807,98,경기도,동두천시,34.6,4.5,25,29.1,68,1.5,0
20160808,98,경기도,동두천시,35.2,3.4,24,28.5,69,1.4,0
20160809,98,경기도,동두천시,34.6,2.8,23.6,28.4,67,1.3,0
20160810,98,경기도,동두천시,35.3,4.1,25.2,29.1,69,1.5,0
20160811,98,경기도,동두천시,35.7,3.9,24,29.1,70,1.4,0
20160812,98,경기도,동두천시,35.5,3.3,25,29.4,72,1.4,0
20160813,98,경기도,동두천시,34.9,4.6,25.9,29.6,71,1.9,0
20160814,98,경기도,동두천시,32.3,4.9,25.4,27.5,82,1.2,2.5
20160815,98,경기도,동두천시,34.1,3.6,24.4,28.3,72,1.3,0
20160816,98,경기도,동두천시,34.4,4.3,24.8,28.2,72,1.2,0
20160817,98,경기도,동두천시,34.5,3.3,22.8,27.8,65,1.2,0
20160818,98,경기도,동두천시,33.9,2.9,22.9,27.5,69,1,0
20160819,98,경기도,동두천시,32,2.7,24.7,27.7,73,1,0
20160820,98,경기도,동두천시,34.9,2.9,24.9,29.1,66,1.3,0
20160821,98,경기도,동두천시,35.1,2.9,24.4,28.4,69,1.3,0.2
20160822,98,경기도,동두천시,35.3,2.9,22.8,28.3,62,1.2,0
20160823,98,경기도,동두천시,35.6,6.3,23.1,27,71,1.4,16.6
20160824,98,경기도,동두천시,33,3.4,24,27.2,71,1.2,7.3
20160825,98,경기도,동두천시,31.4,4.8,21.5,24.8,77,1.5,7.5
20160826,98,경기도,동두천시,28,3.6,15.5,21.8,60,1.9,5.9
20160827,98,경기도,동두천시,28.2,3.4,12.1,20.9,53,1.6,0
20160828,98,경기도,동두천시,23,4.1,16.7,19.4,69,1.7,3.3
20160829,98,경기도,동두천시,26.3,3.7,16.8,20.4,63,1.8,0.1
20160830,98,경기도,동두천시,24.6,4.5,14.9,19.3,70,1.8,0
20160831,98,경기도,동두천시,18.1,5.8,15.4,16.6,82,3.2,27
20160901,98,경기도,동두천시,28.3,6.7,13.9,22.2,70,2.4,6.1
20160902,98,경기도,동두천시,30,4.1,18.3,23.3,71,1.9,13.6
20160903,98,경기도,동두천시,28.7,2.8,20,23.1,76,0.9,0
20160904,98,경기도,동두천시,28,3.3,19.8,23.8,78,1.2,0
20160905,98,경기도,동두천시,30.9,4.1,20.2,24.6,73,1.2,0
20160906,98,경기도,동두천시,29.5,4.4,19.1,23.5,76,1.4,0
20160907,98,경기도,동두천시,29.7,3,20.3,23.6,73,1,0
20160908,98,경기도,동두천시,29.1,5.3,19.6,22.5,72,1.2,0.2
20160909,98,경기도,동두천시,29.4,3.1,18.9,22.9,72,1.1,0
20160910,98,경기도,동두천시,30.2,2.5,17.2,22.9,70,1.1,0
20160911,98,경기도,동두천시,29.5,3,19.9,23.1,71,1.2,0
20160912,98,경기도,동두천시,28.5,4.3,19.1,22.9,70,1.2,0
20160913,98,경기도,동두천시,30.6,2.3,16.8,23,67,1.1,0
20160914,98,경기도,동두천시,30.2,3.5,18.7,23.4,70,1.2,0
20160915,98,경기도,동두천시,29.8,3.3,16.2,22.2,69,1,0
20160916,98,경기도,동두천시,29.2,2.4,17.5,22.8,71,0.9,0
20160917,98,경기도,동두천시,29.7,2.9,19.6,23.1,67,1.3,1.3
20160918,98,경기도,동두천시,27.7,3.4,17.2,21.5,61,1.4,0
20160919,98,경기도,동두천시,27.1,4.2,15,19.9,61,1.6,0
20160920,98,경기도,동두천시,26.1,4.9,13.4,18.9,47,1.9,0
20160921,98,경기도,동두천시,25.5,3.1,10,17.8,55,1.3,0
20160922,98,경기도,동두천시,27.4,3,13.5,19,58,1,0
20160923,98,경기도,동두천시,28.1,2.8,12.4,19.4,64,1.1,0
20160924,98,경기도,동두천시,28.4,2.7,13.5,20.3,66,1,0
20160925,98,경기도,동두천시,30,2.3,15.7,21.4,61,1,0
20160926,98,경기도,동두천시,30.4,3.4,16.8,21.5,64,1.1,0
20160927,98,경기도,동두천시,20.3,2.2,18.2,19,85,0.9,18.3
20160928,98,경기도,동두천시,21.4,2.6,17.3,19,85,1,0.1
20160929,98,경기도,동두천시,25.8,2.9,16.5,19.2,67,1.5,0
20160930,98,경기도,동두천시,25.5,2.8,15.5,19.1,73,0.9,0
20161001,98,경기도,동두천시,26,2.1,14.9,19.4,74,0.8,0
20161002,98,경기도,동두천시,20.2,4.9,15.9,17.5,84,1.2,33.9
20161003,98,경기도,동두천시,27.6,4.1,15.5,20,75,1.7,70
20161004,98,경기도,동두천시,28.5,2.7,12.4,19.6,68,1.3,0
20161005,98,경기도,동두천시,27.1,3.5,16.1,20.2,65,1.9,0
20161006,98,경기도,동두천시,23.9,2.8,11.7,16.8,67,1.2,0
20161007,98,경기도,동두천시,23.9,4,13.3,18.6,69,1.6,0
20161008,98,경기도,동두천시,22.6,7.1,9.7,16.1,64,2.7,2.6
20161009,98,경기도,동두천시,17.7,5.2,5.8,10.9,47,2.1,0
20161010,98,경기도,동두천시,20.3,2.6,4.3,11.8,55,1.1,0
20161011,98,경기도,동두천시,21.5,4.5,6.1,13.9,67,1.4,0
20161012,98,경기도,동두천시,21,3.3,9,13.7,69,1.4,0
20161013,98,경기도,동두천시,21.8,2.9,5.4,13.2,54,1,0
20161014,98,경기도,동두천시,23.3,2.2,8.2,14.9,70,0.8,0
20161015,98,경기도,동두천시,25.9,2.1,9.5,16.4,69,0.8,0
20161016,98,경기도,동두천시,19,2,13,15.3,81,0.7,0.8
20161017,98,경기도,동두천시,23.1,4.5,12.2,16.3,79,1,0
20161018,98,경기도,동두천시,24.2,2.4,8.4,15.2,74,0.9,0
20161019,98,경기도,동두천시,24.6,3.5,10.7,16.1,70,1.1,0
20161020,98,경기도,동두천시,26.1,3.6,9.8,17.2,65,1,0
20161021,98,경기도,동두천시,22.6,2.9,13.1,16.8,63,1.2,0
20161022,98,경기도,동두천시,23,3,12.6,17.4,66,1.1,0
20161023,98,경기도,동두천시,16.2,2.6,7.1,12,73,1.2,3.7
20161024,98,경기도,동두천시,20.4,3.4,5.1,12.7,66,0.9,0
20161025,98,경기도,동두천시,18.5,3.6,10.5,12.9,85,1.2,43
20161026,98,경기도,동두천시,16.6,2.7,8.6,11.9,84,0.6,0
20161027,98,경기도,동두천시,22.1,2.7,6.6,13.8,70,0.9,0
20161028,98,경기도,동두천시,20.3,5,9.6,13.8,63,1.8,0.8
20161029,98,경기도,동두천시,12.7,3.6,1.9,7.1,41,1.9,0
20161030,98,경기도,동두천시,15.5,3.3,-1.8,5.6,44,1,0
20161031,98,경기도,동두천시,9,3.9,0.3,5.1,60,1.6,0.1
20161101,98,경기도,동두천시,8.5,4.4,-3.2,1.3,42,1.6,0
20161102,98,경기도,동두천시,11.7,5,-4.9,3.5,58,1.3,0.2
20161103,98,경기도,동두천시,14.3,4.9,2.6,7.5,71,1.1,1.5
20161104,98,경기도,동두천시,15.6,4.3,6,12.2,67,2,0
20161105,98,경기도,동두천시,19.3,5.5,12.3,14.6,75,2,0
20161106,98,경기도,동두천시,16.8,3.6,11,13.2,60,1.5,0
20161107,98,경기도,동두천시,18.7,4.8,7.8,12.4,67,2,5.9
20161108,98,경기도,동두천시,8.7,5.9,-0.7,4,59,2.5,0.3
20161109,98,경기도,동두천시,9.2,2.8,-3.5,1.4,43,1.4,0
20161110,98,경기도,동두천시,10.1,4.2,-1.4,5.1,59,1.1,0
20161111,98,경기도,동두천시,15,6.2,4.7,8.7,63,2.2,4.1
20161112,98,경기도,동두천시,18.7,4.7,4.3,11.7,61,1.8,0
20161113,98,경기도,동두천시,19.8,3.1,10.7,14,76,1.1,0.4
20161114,98,경기도,동두천시,14.5,4.8,9.5,12.2,81,0.8,3.6
20161115,98,경기도,동두천시,11.9,3.9,0.2,5.3,43,1.7,0
20161116,98,경기도,동두천시,12,3,-2.3,3.9,52,0.8,0
20161117,98,경기도,동두천시,16.4,3,2,8.1,58,0.9,0
20161118,98,경기도,동두천시,14.8,1.8,1.7,8.4,66,0.7,0
20161119,98,경기도,동두천시,20,4.7,6.3,12.1,69,1.9,0
20161120,98,경기도,동두천시,15.8,4.1,4.7,9.2,49,2.1,0
20161121,98,경기도,동두천시,15.1,4.3,1.2,7.5,45,1.6,0
20161122,98,경기도,동두천시,7.6,5.3,-2.6,2.3,40,2.9,0
20161123,98,경기도,동두천시,4.7,4.4,-6,-2.1,35,2.2,0
20161124,98,경기도,동두천시,4,3.9,-8.7,-2.8,42,1.4,0
20161125,98,경기도,동두천시,8,4.6,-6.1,-0.4,48,1.1,0
20161126,98,경기도,동두천시,3.5,2.6,-3.2,0.2,74,0.9,1.4
20161127,98,경기도,동두천시,5.7,2.8,0.3,2.5,83,0.8,0
20161128,98,경기도,동두천시,7.6,4.3,-3.7,0.7,59,1.3,0
20161129,98,경기도,동두천시,8.7,2.6,-5.5,0.4,51,1,0
20161130,98,경기도,동두천시,10.2,4.1,-2.3,4.6,61,1.1,0.7
20161201,98,경기도,동두천시,8.6,8.1,-1.7,3.9,45,3.2,0
20161202,98,경기도,동두천시,8.8,5,-5.6,0.9,50,1.1,0
20161203,98,경기도,동두천시,11.3,2.6,-2.7,3.7,63,0.9,0
20161204,98,경기도,동두천시,10.2,2.1,-1.1,3.9,70,0.7,0
20161205,98,경기도,동두천시,11.1,7.5,-0.1,5.8,65,2.4,0.2
20161206,98,경기도,동두천시,5.1,3.9,-4.8,-1.4,36,1.7,0
20161207,98,경기도,동두천시,8,3.5,-4.4,1.4,58,1.2,0.1
20161208,98,경기도,동두천시,7,3.6,-5.6,1,72,1,2.9
20161209,98,경기도,동두천시,6.6,5.8,-3.6,1.3,63,2.3,7.3
20161210,98,경기도,동두천시,4.4,3.7,-6.7,-2.2,50,1.4,0
20161211,98,경기도,동두천시,5.6,3.1,-9.1,-2.7,50,1.1,0
20161212,98,경기도,동두천시,8.4,3.1,-7.1,-0.1,54,0.9,0
20161213,98,경기도,동두천시,9.7,5.4,-1.9,2.6,58,1.7,0
20161214,98,경기도,동두천시,-0.2,3.7,-2.9,-1.3,65,2.1,1.1
20161215,98,경기도,동두천시,0.7,4.6,-8.1,-4.9,42,2,0
20161216,98,경기도,동두천시,0.8,4.1,-12,-5.3,46,1.2,0
20161217,98,경기도,동두천시,9.2,2.9,-3.2,2.5,59,1,0
20161218,98,경기도,동두천시,8.3,3.9,1.6,4.6,70,1,0
